BTC	비트코인
ETH	이더리움
XRP	리플
ADA	에이다
DOT	폴카닷
LTC	라이트코인
BCH	비트코인캐시
UNI	유니스왑
LINK	체인링크
VET	비체인
XLM	스텔라루멘
THETA	쎄타토큰
TRX	트론
EOS	이오스
BSV	비트코인에스브이
CRO	크립토닷컴체인
LUNA	루나
BTT	비트토렌트
AAVE	에이브
XTZ	테조스
ATOM	코스모스
ETC	이더리움클래식
ALGO	알고랜드
XEM	넴
MKR	메이커
COMP	컴파운드
ZIL	질리카
ENJ	엔진코인
GRT	더그래프
SNX	신세틱스
MANA	디센트럴랜드
BAT	베이직어텐션토큰
YFI	연파이낸스
SUSHI	스시스와	
BTG	비트코인골드
TFUEL	쎄타퓨엘
ONT	온톨로지
UMA	우마
QTUM	퀀텀
WAVES	웨이브
ICX	아이콘
ZRX	제로엑스
IOST	이오스트
ANKR	앵커
OMG	오미세고
ORC	오르빗체인
SNT	스테이터스네트워크토큰
LRC	루프링
BCHA	비트코인캐시에이비씨
KNC	카이버네트워크
GLM	골렘
BCD	비트코인다이아몬드
REP	어거
MIR	미러프로토콜
STEEM	스팀
SAND	샌드박스
LINA	리니어파이낸스
ORBS	오브스
SXP	스와이프
JST	저스트
WAXP	왁스
SRM	세럼
STRAX	스트라티스
CVT	사이버베인
OXT	오키드
ELF	엘프
MTL	메탈
META	메타디움
QKC	쿼크체인
SUN	썬
POWR	파워렛저
HIVE	하이브
BORA	보라
FX	펑션엑스
AION	아이노
ALICE	마이네이버앨리스
=============================
LOOM	룸네트워크
WOZX	이포스
CHR	크로미아
MLK	밀크
WTC	윌튼체인
AE	애터니티
LAMB	람다
AMO	아모코인
BEL	벨라프로토콜
VSYS	브이시스템즈
ARPA	알파체인
WICC	웨이키체인
CENNZ	센트럴리티
MBL	무비블록
COS	콘텐토스
BOA	보아
CTXC	코르텍스
MXC	머신익스체인지코인
